old_cp,old_char,old_name,mapped_cp,mapped_char,mapped_name,rule
U+11C3,ᇃ,HANGUL JONGSEONG KIYEOK-RIEUL,U+11AF,ᆯ,HANGUL JONGSEONG RIEUL,reduced to RIEUL
U+11C4,ᇄ,HANGUL JONGSEONG KIYEOK-SIOS-KIYEOK,U+11BA,ᆺ,HANGUL JONGSEONG SIOS,reduced to SIOS
U+11C5,ᇅ,HANGUL JONGSEONG NIEUN-KIYEOK,U+11AB,ᆫ,HANGUL JONGSEONG NIEUN,reduced to NIEUN
U+11C6,ᇆ,HANGUL JONGSEONG NIEUN-TIKEUT,U+11AB,ᆫ,HANGUL JONGSEONG NIEUN,reduced to NIEUN
U+11C7,ᇇ,HANGUL JONGSEONG NIEUN-SIOS,U+11AB,ᆫ,HANGUL JONGSEONG NIEUN,reduced to NIEUN
U+11C8,ᇈ,HANGUL JONGSEONG NIEUN-PANSIOS,U+11AB,ᆫ,HANGUL JONGSEONG NIEUN,reduced to NIEUN
U+11C9,ᇉ,HANGUL JONGSEONG NIEUN-THIEUTH,U+11AB,ᆫ,HANGUL JONGSEONG NIEUN,reduced to NIEUN
U+11CA,ᇊ,HANGUL JONGSEONG TIKEUT-KIYEOK,U+11A8,ᆨ,HANGUL JONGSEONG KIYEOK,reduced to KIYEOK
U+11CB,ᇋ,HANGUL JONGSEONG TIKEUT-RIEUL,U+11AF,ᆯ,HANGUL JONGSEONG RIEUL,reduced to RIEUL
U+11CC,ᇌ,HANGUL JONGSEONG RIEUL-KIYEOK-SIOS,U+11AF,ᆯ,HANGUL JONGSEONG RIEUL,reduced to RIEUL
U+11CD,ᇍ,HANGUL JONGSEONG RIEUL-NIEUN,U+11AF,ᆯ,HANGUL JONGSEONG RIEUL,reduced to RIEUL
U+11CE,ᇎ,HANGUL JONGSEONG RIEUL-TIKEUT,U+11AF,ᆯ,HANGUL JONGSEONG RIEUL,reduced to RIEUL
U+11CF,ᇏ,HANGUL JONGSEONG RIEUL-TIKEUT-HIEUH,U+11AF,ᆯ,HANGUL JONGSEONG RIEUL,reduced to RIEUL
U+11D0,ᇐ,HANGUL JONGSEONG SSANGRIEUL,U+11AF,ᆯ,HANGUL JONGSEONG RIEUL,reduced to RIEUL
U+11D1,ᇑ,HANGUL JONGSEONG RIEUL-MIEUM-KIYEOK,U+11AF,ᆯ,HANGUL JONGSEONG RIEUL,reduced to RIEUL
U+11D2,ᇒ,HANGUL JONGSEONG RIEUL-MIEUM-SIOS,U+11AF,ᆯ,HANGUL JONGSEONG RIEUL,reduced to RIEUL
U+11D3,ᇓ,HANGUL JONGSEONG RIEUL-PIEUP-SIOS,U+11AF,ᆯ,HANGUL JONGSEONG RIEUL,reduced to RIEUL
U+11D4,ᇔ,HANGUL JONGSEONG RIEUL-PIEUP-HIEUH,U+11AF,ᆯ,HANGUL JONGSEONG RIEUL,reduced to RIEUL
U+11D5,ᇕ,HANGUL JONGSEONG RIEUL-KAPYEOUNPIEUP,U+11AF,ᆯ,HANGUL JONGSEONG RIEUL,reduced to RIEUL
U+11D6,ᇖ,HANGUL JONGSEONG RIEUL-SSANGSIOS,U+11AF,ᆯ,HANGUL JONGSEONG RIEUL,reduced to RIEUL
U+11D7,ᇗ,HANGUL JONGSEONG RIEUL-PANSIOS,U+11AF,ᆯ,HANGUL JONGSEONG RIEUL,reduced to RIEUL
U+11D8,ᇘ,HANGUL JONGSEONG RIEUL-KHIEUKH,U+11AF,ᆯ,HANGUL JONGSEONG RIEUL,reduced to RIEUL
U+11D9,ᇙ,HANGUL JONGSEONG RIEUL-YEORINHIEUH,U+11AF,ᆯ,HANGUL JONGSEONG RIEUL,reduced to RIEUL
U+11DA,ᇚ,HANGUL JONGSEONG MIEUM-KIYEOK,U+11B7,ᆷ,HANGUL JONGSEONG MIEUM,reduced to MIEUM
U+11DB,ᇛ,HANGUL JONGSEONG MIEUM-RIEUL,U+11AF,ᆯ,HANGUL JONGSEONG RIEUL,reduced to RIEUL
