old_cp,old_char,old_name,mapped_cp,mapped_char,mapped_name,rule
U+1176,ᅶ,HANGUL JUNGSEONG A-O,U+1161,ᅡ,HANGUL JUNGSEONG A,A- leading simplified
U+1177,ᅷ,HANGUL JUNGSEONG A-U,U+1161,ᅡ,HANGUL JUNGSEONG A,A- leading simplified
U+1178,ᅸ,HANGUL JUNGSEONG YA-O,U+1163,ᅣ,HANGUL JUNGSEONG YA,leading YA- simplified
U+1179,ᅹ,HANGUL JUNGSEONG YA-YO,U+1163,ᅣ,HANGUL JUNGSEONG YA,leading YA- simplified
U+117A,ᅺ,HANGUL JUNGSEONG EO-O,U+1165,ᅥ,HANGUL JUNGSEONG EO,EO- leading simplified
U+117B,ᅻ,HANGUL JUNGSEONG EO-U,U+1165,ᅥ,HANGUL JUNGSEONG EO,EO- leading simplified
U+117C,ᅼ,HANGUL JUNGSEONG EO-EU,U+1165,ᅥ,HANGUL JUNGSEONG EO,EO- leading simplified
U+117D,ᅽ,HANGUL JUNGSEONG YEO-O,U+1167,ᅧ,HANGUL JUNGSEONG YEO,leading YEO- simplified
U+117E,ᅾ,HANGUL JUNGSEONG YEO-U,U+1167,ᅧ,HANGUL JUNGSEONG YEO,leading YEO- simplified
U+117F,ᅿ,HANGUL JUNGSEONG O-EO,U+1169,ᅩ,HANGUL JUNGSEONG O,O- leading simplified
U+1180,ᆀ,HANGUL JUNGSEONG O-E,U+116C,ᅬ,HANGUL JUNGSEONG OE,direct compound → OE
U+1181,ᆁ,HANGUL JUNGSEONG O-YE,U+1169,ᅩ,HANGUL JUNGSEONG O,O- leading simplified
U+1182,ᆂ,HANGUL JUNGSEONG O-O,U+1169,ᅩ,HANGUL JUNGSEONG O,O- leading simplified
U+1183,ᆃ,HANGUL JUNGSEONG O-U,U+1169,ᅩ,HANGUL JUNGSEONG O,O- leading simplified
U+1184,ᆄ,HANGUL JUNGSEONG YO-YA,U+116D,ᅭ,HANGUL JUNGSEONG YO,leading YO- simplified
U+1185,ᆅ,HANGUL JUNGSEONG YO-YAE,U+116D,ᅭ,HANGUL JUNGSEONG YO,leading YO- simplified
U+1186,ᆆ,HANGUL JUNGSEONG YO-YEO,U+116D,ᅭ,HANGUL JUNGSEONG YO,leading YO- simplified
U+1187,ᆇ,HANGUL JUNGSEONG YO-O,U+116D,ᅭ,HANGUL JUNGSEONG YO,leading YO- simplified
U+1188,ᆈ,HANGUL JUNGSEONG YO-I,U+116D,ᅭ,HANGUL JUNGSEONG YO,leading YO- simplified
U+1189,ᆉ,HANGUL JUNGSEONG U-A,U+116E,ᅮ,HANGUL JUNGSEONG U,U- leading simplified
